Permutation 1: Alice, Bob, Cindy, Dick, Eacy
Permutation 2: Alice, Bob, Cindy, Eacy, Dick
Permutation 3: Alice, Bob, Dick, Cindy, Eacy
Permutation 4: Alice, Bob, Dick, Eacy, Cindy
Permutation 5: Alice, Bob, Eacy, Dick, Cindy
Permutation 6: Alice, Bob, Eacy, Cindy, Dick
Permutation 7: Alice, Cindy, Bob, Dick, Eacy
Permutation 8: Alice, Cindy, Bob, Eacy, Dick
Permutation 9: Alice, Cindy, Dick, Bob, Eacy
Permutation 10: Alice, Cindy, Dick, Eacy, Bob
Permutation 11: Alice, Cindy, Eacy, Dick, Bob
Permutation 12: Alice, Cindy, Eacy, Bob, Dick
Permutation 13: Alice, Dick, Cindy, Bob, Eacy
Permutation 14: Alice, Dick, Cindy, Eacy, Bob
Permutation 15: Alice, Dick, Bob, Cindy, Eacy
Permutation 16: Alice, Dick, Bob, Eacy, Cindy
Permutation 17: Alice, Dick, Eacy, Bob, Cindy
Permutation 18: Alice, Dick, Eacy, Cindy, Bob
Permutation 19: Alice, Eacy, Cindy, Dick, Bob
Permutation 20: Alice, Eacy, Cindy, Bob, Dick
Permutation 21: Alice, Eacy, Dick, Cindy, Bob
Permutation 22: Alice, Eacy, Dick, Bob, Cindy
Permutation 23: Alice, Eacy, Bob, Dick, Cindy
Permutation 24: Alice, Eacy, Bob, Cindy, Dick
Permutation 25: Bob, Alice, Cindy, Dick, Eacy
Permutation 26: Bob, Alice, Cindy, Eacy, Dick
Permutation 27: Bob, Alice, Dick, Cindy, Eacy
Permutation 28: Bob, Alice, Dick, Eacy, Cindy
Permutation 29: Bob, Alice, Eacy, Dick, Cindy
Permutation 30: Bob, Alice, Eacy, Cindy, Dick
Permutation 31: Bob, Cindy, Alice, Dick, Eacy
Permutation 32: Bob, Cindy, Alice, Eacy, Dick
Permutation 33: Bob, Cindy, Dick, Alice, Eacy
Permutation 34: Bob, Cindy, Dick, Eacy, Alice
Permutation 35: Bob, Cindy, Eacy, Dick, Alice
Permutation 36: Bob, Cindy, Eacy, Alice, Dick
Permutation 37: Bob, Dick, Cindy, Alice, Eacy
Permutation 38: Bob, Dick, Cindy, Eacy, Alice
Permutation 39: Bob, Dick, Alice, Cindy, Eacy
Permutation 40: Bob, Dick, Alice, Eacy, Cindy
Permutation 41: Bob, Dick, Eacy, Alice, Cindy
Permutation 42: Bob, Dick, Eacy, Cindy, Alice
Permutation 43: Bob, Eacy, Cindy, Dick, Alice
Permutation 44: Bob, Eacy, Cindy, Alice, Dick
Permutation 45: Bob, Eacy, Dick, Cindy, Alice
Permutation 46: Bob, Eacy, Dick, Alice, Cindy
Permutation 47: Bob, Eacy, Alice, Dick, Cindy
Permutation 48: Bob, Eacy, Alice, Cindy, Dick
Permutation 49: Cindy, Bob, Alice, Dick, Eacy
Permutation 50: Cindy, Bob, Alice, Eacy, Dick
Permutation 51: Cindy, Bob, Dick, Alice, Eacy
Permutation 52: Cindy, Bob, Dick, Eacy, Alice
Permutation 53: Cindy, Bob, Eacy, Dick, Alice
Permutation 54: Cindy, Bob, Eacy, Alice, Dick
Permutation 55: Cindy, Alice, Bob, Dick, Eacy
Permutation 56: Cindy, Alice, Bob, Eacy, Dick
Permutation 57: Cindy, Alice, Dick, Bob, Eacy
Permutation 58: Cindy, Alice, Dick, Eacy, Bob
Permutation 59: Cindy, Alice, Eacy, Dick, Bob
Permutation 60: Cindy, Alice, Eacy, Bob, Dick
Permutation 61: Cindy, Dick, Alice, Bob, Eacy
Permutation 62: Cindy, Dick, Alice, Eacy, Bob
Permutation 63: Cindy, Dick, Bob, Alice, Eacy
Permutation 64: Cindy, Dick, Bob, Eacy, Alice
Permutation 65: Cindy, Dick, Eacy, Bob, Alice
Permutation 66: Cindy, Dick, Eacy, Alice, Bob
Permutation 67: Cindy, Eacy, Alice, Dick, Bob
Permutation 68: Cindy, Eacy, Alice, Bob, Dick
Permutation 69: Cindy, Eacy, Dick, Alice, Bob
Permutation 70: Cindy, Eacy, Dick, Bob, Alice
Permutation 71: Cindy, Eacy, Bob, Dick, Alice
Permutation 72: Cindy, Eacy, Bob, Alice, Dick
Permutation 73: Dick, Bob, Cindy, Alice, Eacy
Permutation 74: Dick, Bob, Cindy, Eacy, Alice
Permutation 75: Dick, Bob, Alice, Cindy, Eacy
Permutation 76: Dick, Bob, Alice, Eacy, Cindy
Permutation 77: Dick, Bob, Eacy, Alice, Cindy
Permutation 78: Dick, Bob, Eacy, Cindy, Alice
Permutation 79: Dick, Cindy, Bob, Alice, Eacy
Permutation 80: Dick, Cindy, Bob, Eacy, Alice
Permutation 81: Dick, Cindy, Alice, Bob, Eacy
Permutation 82: Dick, Cindy, Alice, Eacy, Bob
Permutation 83: Dick, Cindy, Eacy, Alice, Bob
Permutation 84: Dick, Cindy, Eacy, Bob, Alice
Permutation 85: Dick, Alice, Cindy, Bob, Eacy
Permutation 86: Dick, Alice, Cindy, Eacy, Bob
Permutation 87: Dick, Alice, Bob, Cindy, Eacy
Permutation 88: Dick, Alice, Bob, Eacy, Cindy
Permutation 89: Dick, Alice, Eacy, Bob, Cindy
Permutation 90: Dick, Alice, Eacy, Cindy, Bob
Permutation 91: Dick, Eacy, Cindy, Alice, Bob
Permutation 92: Dick, Eacy, Cindy, Bob, Alice
Permutation 93: Dick, Eacy, Alice, Cindy, Bob
Permutation 94: Dick, Eacy, Alice, Bob, Cindy
Permutation 95: Dick, Eacy, Bob, Alice, Cindy
Permutation 96: Dick, Eacy, Bob, Cindy, Alice
Permutation 97: Eacy, Bob, Cindy, Dick, Alice
Permutation 98: Eacy, Bob, Cindy, Alice, Dick
Permutation 99: Eacy, Bob, Dick, Cindy, Alice
Permutation 100: Eacy, Bob, Dick, Alice, Cindy
Permutation 101: Eacy, Bob, Alice, Dick, Cindy
Permutation 102: Eacy, Bob, Alice, Cindy, Dick
Permutation 103: Eacy, Cindy, Bob, Dick, Alice
Permutation 104: Eacy, Cindy, Bob, Alice, Dick
